"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00999GLS038","GLS",NULL,454.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.01002GLS001","GLS",NULL,48.00,"medicine bottle",NULL,1600,1750,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-117","light blue green","Netherlands/Germany",100.00,100,37.00,87.00,"mold-blown",NULL
"NZR2.01002GLS002","GLS",NULL,73.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01002GLS003","GLS",NULL,392.00,"wine bottle",NULL,1680,1740,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-2","green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.01004GLS001","GLS",NULL,504.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,100,NULL,NULL,NULL,NULL
"NZR2.01004GLS002","GLS",NULL,492.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",15.00,100,NULL,NULL,NULL,NULL
"NZR2.01004GLS003","GLS",NULL,24.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,15,NULL,NULL,NULL,NULL
"NZR2.01004GLS004","GLS",NULL,147.00,"wine bottle",NULL,1775,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","brown green","western Europe",NULL,50,93.00,NULL,NULL,NULL
"NZR2.01004GLS005","GLS",NULL,25.00,"bottle",NULL,1675,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-4","yellow green","Netherlands/Germany",NULL,100,NULL,NULL,NULL,NULL
"NZR2.01004GLS006","GLS",NULL,61.00,"mineral water bottle",NULL,1650,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01004GLS007","GLS",NULL,10.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",50.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01004GLS008","GLS",NULL,90.00,"gin bottle",NULL,1886,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Capsule of bottle for spirit drinks",NULL,"gl-fle","yellow green","Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01004GLS009","GLS","glass: colourless",32.00,"bottle",NULL,1883,1897,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Capsule of food container",NULL,"gl-fle","colourless","Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01004GLS010","GLS","glass: colourless",16.00,"bottle",NULL,1890,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01004GLS011","GLS","glass: colourless",37.00,"medicine bottle",NULL,1700,1800,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-15","colourless","Netherlands/Germany",NULL,100,47.00,NULL,NULL,NULL
"NZR2.01004GLS012","GLS",NULL,86.00,"wine bottle",NULL,1775,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","light green","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
