"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZD1.00078GLS001","GLS","glass",2.00,"medicine bottle",NULL,1650,1800,-5.90,-6.98,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS002","GLS","glass",38.00,"wine bottle",NULL,1775,1825,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS003","GLS","glass: colourless",6.00,"marble",NULL,1960,2005,-5.90,-6.98,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00078GLS004","GLS","glass",239.00,"wine bottle",NULL,1970,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","brown green","Europe",NULL,100,NULL,NULL,NULL,NULL
"NZD1.00078GLS005","GLS","glass",10.00,"tabasco bottle",NULL,1950,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, food general","Tabasco bottle",NULL,"gl-fle-222","red brown","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS006","GLS","glass: colourless",296.00,"storage bottle",NULL,1900,1975,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,65,150.00,NULL,NULL,NULL
"NZD1.00078GLS007","GLS","glass: lead-glass",14.00,"chandelier","glass icicle",1875,1975,-5.90,-6.98,"Interiors & Accessories","Chandelier",NULL,NULL,"gl-peg","colourless","western Europe",NULL,NULL,22.00,NULL,NULL,NULL
"NZD1.00078GLS008","GLS","glass: colourless",160.00,"lid",NULL,1925,1975,-5.90,-6.98,"Food Processing & Consumption","Food preparation and consumption: various parts of kitchenware","Lid (glass)",NULL,"gl-dek","colourless, with a hint of grey","western Europe",100.00,NULL,71.00,35.00,NULL,NULL
"NZD1.00078GLS009","GLS","glass",69.00,"wine bottle",NULL,1690,1725,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-160","green","England",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS010","GLS","glass",10.00,"medicine bottle",NULL,1600,1700,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","blue green","Netherlands/Germany",NULL,35,NULL,NULL,NULL,NULL
"NZD1.00078GLS011","GLS","glass: forest-glass",1.00,"maigelein (palm cup)",NULL,1400,1500,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light yellow green","Germany",15.00,NULL,100.00,NULL,NULL,NULL
"NZD1.00078GLS012","GLS","glass",5.00,NULL,NULL,1500,1700,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS013","GLS","glass: opaline",7.00,NULL,NULL,1800,1900,-5.90,-6.98,"Not classified",NULL,NULL,NULL,"gl","opaque green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS014","GLS","glass: colourless",2.00,"marble",NULL,1950,2005,-5.90,-6.98,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,12.00,NULL,NULL,NULL
"NZD1.00078GLS015","GLS","glass: colourless",18.00,"lemonade bottle",NULL,1946,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS016","GLS","glass",49.00,"lemonade bottle",NULL,1946,1969,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00078GLS017","GLS","glass",50.00,"lemonade bottle",NULL,1953,2005,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-214","emerald green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS018","GLS","glass",119.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,55,NULL,NULL,NULL,NULL
"NZD1.00078GLS019","GLS","glass",167.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS020","GLS","glass",31.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00078GLS021","GLS","glass",5.00,NULL,NULL,1900,2005,-5.90,-6.98,"Not classified",NULL,NULL,NULL,"gl","emerald green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS022","GLS","glass: forest-glass",3.00,"roemer",NULL,1625,1725,-5.90,-6.98,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00078GLS023","GLS","glass",17.00,"window glass",NULL,1500,1800,-5.90,-6.98,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS024","GLS","glass",4.00,"case-bottle",NULL,1575,1700,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS025","GLS","glass",3.00,"medicine bottle",NULL,1650,1800,-5.90,-6.98,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS026","GLS","glass: colourless",42.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of blue","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00078GLS027","GLS","glass: colourless",149.00,"window glass",NULL,1850,2000,-5.90,-6.98,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS028","GLS","glass",50.00,"bottle",NULL,1850,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS029","GLS","glass: colourless",480.00,"bottle",NULL,1950,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00078GLS030","GLS","glass",58.00,"bottle",NULL,1900,2000,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS031","GLS","glass",37.00,"wine bottle",NULL,1675,1775,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00078GLS032","GLS","glass",78.00,"wine bottle",NULL,1675,1775,-5.90,-6.98,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS001","GLS","glass",20.00,"medicine bottle",NULL,1700,1850,-5.46,-7.50,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","light blue green","Netherlands/Germany",NULL,100,25.00,NULL,NULL,NULL
"NZD1.00079GLS002","GLS","glass",5.00,"medicine bottle",NULL,1700,1800,-5.46,-7.50,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-11","light green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS003","GLS","glass",9.00,"jewellery","fragment",1875,1925,-5.46,-7.50,"Personal Artefacts & Clothing","Body adornment","Parts of jewellery",NULL,"gl","purple","western Europe",40.00,NULL,37.00,10.00,"press-moulded",NULL
"NZD1.00079GLS004","GLS","glass",33.00,"gin bottle",NULL,1975,2005,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","brown","Germany",100.00,100,26.00,95.00,NULL,NULL
"NZD1.00079GLS005","GLS","glass",11.00,"car rear light",NULL,1950,1980,-5.46,-7.50,"Distribution & Transport","Transport, car","Rear light",NULL,"gl","yellow",NULL,10.00,NULL,180.00,NULL,NULL,NULL
"NZD1.00079GLS006","GLS","glass",47.00,"wine bottle",NULL,1675,1725,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00079GLS007","GLS","glass",18.00,"wine bottle",NULL,1700,1775,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS008","GLS","glass: lead-glass",86.00,"goblet",NULL,1750,1800,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-21","colourless, with a hint of grey","England",NULL,NULL,NULL,NULL,"spiral air twist",NULL
"NZD1.00079GLS009","GLS","glass: forest-glass",10.00,NULL,NULL,1500,1650,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","blue green","Netherlands/Germany",NULL,65,NULL,NULL,NULL,NULL
"NZD1.00079GLS010","GLS","glass",1.00,"window glass",NULL,1500,1800,-5.46,-7.50,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",5.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS011","GLS","glass: colourless",5.00,NULL,NULL,1900,2000,-5.46,-7.50,"Not classified",NULL,NULL,NULL,"gl","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS012","GLS","glass: colourless",48.00,"goblet",NULL,1825,1900,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS013","GLS","glass: colourless",52.00,"beaker/mug",NULL,1800,1900,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS014","GLS","glass: opaline",30.00,NULL,NULL,1850,2000,-5.46,-7.50,"Not classified",NULL,NULL,NULL,"gl","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS015","GLS","glass: colourless",21.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,25.00,NULL,NULL,NULL
"NZD1.00079GLS016","GLS","glass: colourless",13.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,21.00,NULL,NULL,NULL
"NZD1.00079GLS017","GLS","glass: opaline",6.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","white","Germany",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00079GLS018","GLS","glass: colourless",15.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,22.00,NULL,NULL,NULL
"NZD1.00079GLS019","GLS","glass: colourless",5.00,"marble",NULL,1950,2005,-5.46,-7.50,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00079GLS020","GLS","glass",73.00,"lemonade bottle",NULL,1946,1969,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00079GLS021","GLS","glass",285.00,"bottle",NULL,1950,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",110.00,50,NULL,NULL,NULL,NULL
"NZD1.00079GLS022","GLS","glass",244.00,"bottle",NULL,1950,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,30,NULL,NULL,NULL,NULL
"NZD1.00079GLS023","GLS","glass",104.00,"bottle",NULL,1900,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,20,NULL,NULL,NULL,NULL
"NZD1.00079GLS024","GLS","glass",54.00,"bottle",NULL,1800,1900,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS025","GLS","glass: colourless",79.00,"bottle",NULL,1900,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS026","GLS","glass",20.00,"bottle",NULL,1950,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","blue green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS027","GLS","glass",18.00,NULL,NULL,1900,2000,-5.46,-7.50,"Not classified",NULL,NULL,NULL,"gl","ultramarin","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS028","GLS","glass: forest-glass",11.00,"roemer",NULL,1625,1725,-5.46,-7.50,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00079GLS029","GLS","glass",27.00,"window glass",NULL,1500,1800,-5.46,-7.50,"Buildings & Structures","Windows","Window glass",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS030","GLS","glass: colourless",97.00,"bottle",NULL,1900,2005,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of blue","western Europe",10.00,20,NULL,NULL,NULL,NULL
"NZD1.00079GLS031","GLS","glass: colourless",179.00,"window glass",NULL,1850,2000,-5.46,-7.50,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS032","GLS","glass",22.00,"bottle",NULL,1850,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,20,NULL,NULL,NULL,NULL
"NZD1.00079GLS033","GLS","glass: colourless",33.00,"lemonade bottle",NULL,1946,2005,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless","Netherlands",10.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS034","GLS","glass: colourless",263.00,"bottle",NULL,1950,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,175,NULL,NULL,NULL,NULL
"NZD1.00079GLS035","GLS","glass: colourless",27.00,"bottle",NULL,1900,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS036","GLS","glass",49.00,"bottle",NULL,1900,2000,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00079GLS037","GLS","glass",103.00,"wine bottle",NULL,1675,1775,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00079GLS038","GLS","glass",130.00,"wine bottle",NULL,1675,1775,-5.46,-7.50,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00080GLS001","GLS","glass",259.00,"case-bottle",NULL,1600,1700,-5.99,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,70,NULL,NULL,NULL,NULL
"NZD1.00081GLS001","GLS","glass",12.00,NULL,NULL,1700,1800,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general",NULL,NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS002","GLS","glass",6.00,"bottle",NULL,1875,1950,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","purple","Europe",NULL,15,75.00,NULL,NULL,NULL
"NZD1.00081GLS003","GLS","glass: colourless",4.00,"marble",NULL,1950,2005,-5.46,-6.90,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00081GLS004","GLS","glass",6.00,"kuttrolf",NULL,1575,1750,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, Kuttrolf",NULL,"gl-fle-129","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS005","GLS","glass",7.00,NULL,NULL,1600,1800,-5.46,-6.90,"Not classified",NULL,NULL,NULL,"gl","light green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS006","GLS","glass",5.00,"kuttrolf",NULL,1575,1750,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, Kuttrolf",NULL,"gl-fle-129","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS007","GLS","glass: colourless",11.00,"goblet",NULL,1750,1850,-5.46,-6.90,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS008","GLS","glass: colourless",43.00,"lemonade bottle",NULL,1946,2005,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS009","GLS","glass",57.00,"bottle",NULL,1950,2000,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",25.00,20,NULL,NULL,NULL,NULL
"NZD1.00081GLS010","GLS","glass",88.00,"bottle",NULL,1950,2000,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",135.00,10,NULL,NULL,NULL,NULL
"NZD1.00081GLS011","GLS","glass",13.00,"window glass",NULL,1500,1800,-5.46,-6.90,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS012","GLS","glass",9.00,"window glass",NULL,1500,1800,-5.46,-6.90,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS013","GLS","glass: colourless",25.00,"window glass",NULL,1850,2000,-5.46,-6.90,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS014","GLS","glass: colourless",43.00,"bottle",NULL,1950,2000,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00081GLS015","GLS","glass: colourless",90.00,"beaker/mug",NULL,1950,2000,-5.46,-6.90,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZD1.00081GLS016","GLS","glass",136.00,"bottle",NULL,1900,2000,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00081GLS017","GLS","glass",45.00,"wine bottle",NULL,1675,1775,-5.46,-6.90,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00082GLS001","GLS","glass",5.00,"medicine bottle",NULL,1600,1700,-6.45,-7.13,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","blue green","Netherlands/Germany",NULL,100,NULL,NULL,NULL,NULL
"NZD1.00082GLS002","GLS","glass",1.00,NULL,NULL,1600,1700,-6.45,-7.13,"Food Processing & Consumption","Supplies, liquids general",NULL,NULL,"gl","red brown","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00082GLS003","GLS","glass",23.00,"bottle",NULL,1950,2000,-6.45,-7.13,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00082GLS004","GLS","glass: colourless",2.00,"window glass",NULL,1850,1950,-6.45,-7.13,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00082GLS005","GLS","glass",28.00,"wine bottle",NULL,1675,1775,-6.45,-7.13,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00085GLS001","GLS","glass",6.00,"bottle",NULL,1750,1850,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00085GLS002","GLS","glass: colourless",60.00,NULL,NULL,1900,2000,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","colourless, with a hint of green","western Europe",NULL,15,160.00,NULL,NULL,NULL
"NZD1.00085GLS003","GLS","glass: colourless",6.00,"window glass",NULL,1850,2000,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00085GLS004","GLS","glass: opaline",4.00,"lamp shade",NULL,1850,1950,-5.48,-7.19,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS001","GLS","glass",76.00,"wine bottle",NULL,1725,1775,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","western Europe",50.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS002","GLS","glass: colourless",20.00,"perfume bottle",NULL,1970,2000,-5.48,-7.19,"Personal Artefacts & Clothing","Personal care: skin care and cosmetics","Perfume bottle",NULL,"gl-fle","colourless","Europe",100.00,100,25.00,48.00,NULL,NULL
"NZD1.00087GLS003","GLS","glass: colourless",16.00,"tazza",NULL,1575,1650,-5.48,-7.19,"Food Processing & Consumption","Food consumption: plate, dish, bowl","Tazza",NULL,"gl-taz","colourless, with a hint of yellow","Netherlands?",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS004","GLS","glass: colourless",12.00,"car light",NULL,1950,2000,-5.48,-7.19,"Distribution & Transport","Transport, car",NULL,NULL,"gl","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS005","GLS","glass",325.00,"wine bottle",NULL,1650,1680,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00087GLS006","GLS","glass",42.00,"bottle",NULL,1600,1700,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","blue green","Netherlands/Germany",NULL,100,NULL,NULL,"ribbed pattern",NULL
"NZD1.00087GLS007","GLS","glass: forest-glass",17.00,"maigelein (palm cup)",NULL,1400,1500,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","blue green","Germany",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00087GLS008","GLS","glass",115.00,"bottle",NULL,1650,1750,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS009","GLS","glass",50.00,"wine bottle",NULL,1700,1800,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS010","GLS","glass",70.00,"wine bottle",NULL,1650,1680,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","England",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS011","GLS","glass",6.00,"beaker/mug",NULL,1600,1700,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","blue green","the Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS012","GLS","glass: colourless",9.00,"goblet",NULL,1575,1625,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","Netherlands?",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS013","GLS","glass: colourless",15.00,"goblet",NULL,1850,1950,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
