"find_number","material_category","material","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","ceramics_rim_eve_estimated_vessel_equivalent","ceramics_base_eve_estimated_vessel_equivalent","ceramics_reconstructed_object_diameter_in_mm","ceramics_reconstructed_object_height_in_mm","ceramics_surface_treatment","ceramics_decoration_technique","ceramics_image_type","ceramics_mark","material_simplified"
"NZR2.00525CER216","CER","industrial ware: white",1850,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,20.0,140.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER218","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,65.0,140.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER219","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,200.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER221","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,25.0,220.0,60.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER241","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,25.0,170.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER246","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,190.0,20.0,"lead-glaze","overall white","floral motif",NULL,"industrial ware"
"NZR2.00525CER263","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,220.0,20.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZR2.00525CER265","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,40.0,260.0,25.0,"lead-glaze with blue underglaze","blue-white",NULL,NULL,"industrial ware"
"NZR2.00525CER269","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",50.0,40.0,260.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER270","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,40.0,260.0,23.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER272","CER","industrial ware: white",1760,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,5.0,250.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER273","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",95.0,40.0,250.0,23.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER274","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",5.0,5.0,250.0,15.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER275","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,250.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER278","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,210.0,15.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER279","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,35.0,210.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER280","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,5.0,200.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER281","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,30.0,190.0,18.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER282","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,20.0,220.0,20.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZR2.00525CER283","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,20.0,190.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER285","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,25.0,260.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER287","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,50.0,250.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER288","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",5.0,15.0,210.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER293","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,5.0,260.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER295","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,20.0,260.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER296","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,35.0,250.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER297","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",30.0,5.0,260.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER300","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",45.0,50.0,210.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00525CER311","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,100.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER023","CER","industrial ware: white",1800,1875,"Food Processing & Consumption","Consumption: drinking",90.0,0.0,70.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER123","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Consumption: drinking",25.0,25.0,95.0,55.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER126","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",35.0,35.0,135.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER127","CER","industrial ware: white",1840,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,0.0,140.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER131","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",40.0,80.0,100.0,57.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER149","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,210.0,52.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER165","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,35.0,140.0,13.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER173","CER","industrial ware: white",1775,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,20.0,140.0,32.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZR2.00526CER177","CER","industrial ware: white",1850,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,180.0,17.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER179","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,240.0,30.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZR2.00526CER180","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,5.0,190.0,15.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER184","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,260.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER186","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,50.0,260.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
