"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZR2.00024MTL007","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
"NZR2.00024MTL019","MTL","metal: brass","999",1400,1600,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00024MTL021","MTL","metal: brass","999",1600,1700,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00024MTL026","MTL","metal: brass","999",1800,1900,"Personal Artefacts & Clothing","Body adornment",NULL,NULL,NULL,"metal: brass"
"NZR2.00025MTL001","MTL","metal: brass","999",1650,1725,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
"NZR2.00026MTL009","MTL","metal: brass","999",1600,1800,"Games & Recreation","Music: idiophone",NULL,NULL,NULL,"metal: brass"
"NZR2.00026MTL010","MTL","metal: brass","999",1400,1700,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00026MTL012","MTL","metal: brass","999",1800,1900,"Interiors & Accessories","Hook",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL005","MTL","metal: brass","999",1550,1650,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL007","MTL","metal: brass","999",1800,1937,"Personal Artefacts & Clothing","Personal accessories",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL012","MTL","metal: brass","999",1400,1600,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL013","MTL","metal: brass","999",1800,1937,"Interiors & Accessories","Locks: latches",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL018","MTL","metal: brass","999",1600,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL021","MTL","metal: brass","999",1700,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL022","MTL","metal: brass","999",1550,1625,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL024","MTL","metal: brass","999",1500,1700,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL026","MTL","metal: brass","999",1400,1700,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00027MTL027","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00028MTL009","MTL","metal: brass","999",1550,1650,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00028MTL014","MTL","metal: brass","999",1450,1550,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00028MTL015","MTL","metal: brass","999",1900,1937,"Interiors & Accessories","Fittings for interior furnishing",NULL,NULL,NULL,"metal: brass"
"NZR2.00028MTL016","MTL","metal: brass","999",1650,1700,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00028MTL019","MTL","metal: brass","999",1700,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00029MTL001","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00031MTL003","MTL","metal: brass","999",1450,1550,"Communication & Exchange","Communication: printed matter, book",NULL,NULL,NULL,"metal: brass"
"NZR2.00032MTL002","MTL","metal: brass","999",1732,1770,"Communication & Exchange","Exchange, profane: gaming token",NULL,NULL,NULL,"metal: brass"
"NZR2.00032MTL004","MTL","metal: brass","999",NULL,NULL,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"metal: brass"
"NZR2.00032MTL006","MTL","metal: brass","999",1500,1700,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"metal: brass"
"NZR2.00035MTL002","MTL","metal: brass","999",1600,1650,"Personal Artefacts & Clothing","Headgear",NULL,NULL,NULL,"metal: brass"
"NZR2.00036MTL014","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00037MTL008","MTL","metal: brass","999",1400,1600,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00037MTL014","MTL","metal: brass","999",1550,1650,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"metal: brass"
"NZR2.00037MTL023","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00037MTL025","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00037MTL028","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00038MTL007","MTL","metal: brass","999",1350,1450,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00038MTL020","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"metal: brass"
"NZR2.00038MTL021","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL013","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL014","MTL","metal: brass","999",1500,1650,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL016","MTL","metal: brass","999",1625,1675,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL018","MTL","metal: brass","999",1775,1850,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL024","MTL","metal: brass","999",NULL,NULL,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL025","MTL","metal: brass","999",1850,1925,"Communication & Exchange","Exchange, product specification or quality guarantee: general",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL027","MTL","metal: brass","999",1450,1494,"Communication & Exchange","Exchange, profane: jeton",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL035","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL038","MTL","metal: brass","999",1400,1700,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL041","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL043","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00039MTL044","MTL","metal: brass","999",1600,1900,"Food Processing & Consumption","Food preparation: cooking - and hearth utensils",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL008","MTL","metal: brass","999",1900,1937,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL011","MTL","metal: brass","999",1400,1600,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL012","MTL","metal: brass","999",1550,1650,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL013","MTL","metal: brass","999",1550,1800,"Science & Technology","Measuring: weight",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL015","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL023","MTL","metal: brass","999",1515,1559,"Communication & Exchange","Exchange, profane: jeton",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL032","MTL","metal: brass","999",1600,1900,"Interiors & Accessories","Furniture",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL034","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL035","MTL","metal: brass","999",1700,1900,"Science & Technology","Measuring: time",NULL,NULL,NULL,"metal: brass"
"NZR2.00040MTL036","MTL","metal: brass","999",1700,1750,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL004","MTL","metal: brass","999",1550,1650,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL005","MTL","metal: brass","999",1581,1581,"Science & Technology","Measuring: weight",NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL010","MTL","metal: brass","999",1500,1800,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL011","MTL","metal: brass","999",1725,1750,"Interiors & Accessories","Furniture: furniture fittings",NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL013","MTL","metal: brass","999",1800,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL016","MTL","metal: brass","999",1500,1900,"Not classified",NULL,NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL018","MTL","metal: brass","999",1650,1750,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"metal: brass"
"NZR2.00041MTL020","MTL","metal: brass","999",1600,1900,"Food Processing & Consumption","Food preparation: cooking - and hearth utensils",NULL,NULL,NULL,"metal: brass"
"NZR2.00043MTL007","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00043MTL008","MTL","metal: brass","999",1800,1900,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00043MTL009","MTL","metal: brass","999",1400,1600,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
