"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZD1.00462MTL082","MTL","metal: lead alloy","777","1400","1900","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL083","MTL","metal: lead alloy","777","1400","1600","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL084","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL090","MTL","metal: lead alloy","777","1350","1500","Communication & Exchange","Exchange, religious: pilgrimage","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL092","MTL","metal: lead alloy","777","1375","1500","Personal Artefacts & Clothing","Body adornment","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL093","MTL","metal: lead alloy","777","1400","1600","Personal Artefacts & Clothing","Body adornment","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL094","MTL","metal: lead alloy","777","1350","1500","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL095","MTL","metal: lead alloy","777","1500","1600","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL112","MTL","metal: lead alloy","777","1350","1450","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL137","MTL","metal: lead alloy","777","1500","1550","Games & Recreation","Toys: miniature arms & armour","-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL139","MTL","metal: lead alloy","777","1400","1600","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL140","MTL","metal: lead alloy","777","1500","1600","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00462MTL141","MTL","metal: lead alloy","777","1400","1600","Not classified",NULL,"-7.65","-9.91","-8.7800000000000000","metal: lead"
"NZD1.00463MTL008","MTL","metal: lead alloy","777","1875","1925","Games & Recreation","Toys: miniature distribution & transport","-8.40","-10.42","-9.4100000000000000","metal: lead"
"NZD1.00464MTL034","MTL","metal: lead alloy","777","1450","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-8.40","-10.42","-9.4100000000000000","metal: lead"
"NZD1.00464MTL039","MTL","metal: lead alloy","777","1500","1700","Games & Recreation","Toys: miniature food processing & food service","-8.40","-10.42","-9.4100000000000000","metal: lead"
"NZD1.00464MTL061","MTL","metal: lead alloy","777","1300","1500","Games & Recreation","Music: aerophone","-8.40","-10.42","-9.4100000000000000","metal: lead"
